Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
2.125195E-1	6.040063E-3	8.613890E-3	2.344050E-3
2.131250E-1	2.873260E-3	4.409543E-3	2.941932E-3
2.137305E-1	5.100395E-3	3.195225E-3	4.546450E-3
2.143359E-1	4.301067E-3	6.911404E-3	2.045110E-3
2.149414E-1	2.970888E-3	5.044161E-3	-1.087015E-5
2.155469E-1	3.245466E-3	3.915273E-3	2.283042E-3
2.161523E-1	2.909871E-3	7.116702E-4	2.588083E-3
2.167578E-1	3.379705E-3	4.470564E-3	2.246437E-3
2.173633E-1	3.916658E-3	8.497950E-3	1.935295E-3
2.179687E-1	3.068516E-3	5.867945E-3	3.777745E-3
2.185742E-1	4.960055E-3	1.724619E-3	2.276941E-3
2.191797E-1	6.882103E-3	8.693217E-3	7.474848E-3
2.197852E-1	1.738337E-3	7.655860E-3	1.477732E-3
2.203906E-1	3.196652E-3	4.281399E-3	-1.145843E-4
2.209961E-1	7.589905E-3	7.485001E-3	4.473240E-3
2.216016E-1	2.238679E-3	-1.027428E-3	1.215397E-3
2.222070E-1	4.862428E-3	6.539176E-3	8.676494E-4
2.228125E-1	6.009555E-3	8.912893E-3	3.204267E-3
2.234180E-1	4.862428E-3	2.035826E-3	4.344904E-4
2.240234E-1	4.813614E-3	4.104438E-3	3.771644E-3
2.246289E-1	5.381075E-3	9.779391E-3	6.748849E-3
2.252344E-1	2.806141E-3	5.758107E-3	3.793649E-5
2.258398E-1	5.649552E-3	6.343909E-3	2.618588E-3
2.264453E-1	5.173616E-3	5.806924E-3	4.284114E-3
2.270508E-1	3.459027E-3	-2.402574E-4	2.514873E-3
2.276563E-1	7.345836E-3	1.122559E-2	4.485442E-3
2.282617E-1	5.246837E-3	5.892353E-3	2.887024E-3
2.288672E-1	6.998037E-3	6.990731E-3	1.862085E-3
2.294727E-1	5.759383E-3	9.217998E-3	6.718345E-3
2.300781E-1	4.081405E-3	9.584124E-3	2.429462E-3
2.306836E-1	5.350567E-3	4.940426E-3	-6.636590E-4
2.312891E-1	3.477333E-3	7.173794E-3	3.204267E-3
2.318945E-1	6.583286E-4	-6.939860E-5	3.765544E-3
2.325000E-1	2.153255E-3	3.176919E-3	2.490470E-3
2.331055E-1	3.556655E-3	1.504943E-3	9.284396E-5
2.337109E-1	2.598682E-3	2.969447E-3	6.846245E-4
2.343164E-1	5.863113E-3	7.973169E-3	5.736112E-3
2.349219E-1	4.496323E-3	5.465206E-3	3.966871E-3
2.355273E-1	5.472602E-3	3.738312E-3	-2.121975E-4
2.361328E-1	7.467870E-3	7.405674E-3	4.753878E-3
2.367383E-1	1.036637E-3	3.982396E-3	3.789947E-3
2.373437E-1	3.288179E-3	1.913784E-3	2.575882E-3
2.379492E-1	7.095664E-3	9.260712E-3	2.466067E-3
2.385547E-1	2.879362E-3	2.023622E-3	-8.466839E-4
2.391602E-1	4.752596E-3	7.838923E-3	3.936367E-3
2.397656E-1	3.190551E-3	7.912148E-3	5.784918E-3
2.403711E-1	4.789207E-3	5.538431E-3	1.624152E-3
2.409766E-1	4.581747E-3	6.325602E-3	1.648556E-3
2.415820E-1	1.366130E-3	8.302683E-3	5.296852E-3
2.421875E-1	2.714615E-3	1.266961E-3	2.203731E-3
2.427930E-1	4.746494E-3	4.806179E-3	1.837681E-3
2.433984E-1	5.246837E-3	4.751260E-3	3.793649E-5
2.440039E-1	4.471916E-3	4.379032E-3	2.289143E-3
2.446094E-1	5.966842E-3	7.802310E-3	5.967943E-3
2.452148E-1	4.917343E-3	3.384390E-3	2.203731E-3
2.458203E-1	4.258355E-3	4.842792E-3	-3.281133E-4
2.464258E-1	4.941750E-3	1.153680E-2	6.096061E-3
2.470313E-1	2.598682E-3	8.211151E-3	3.094452E-3
2.476367E-1	3.983777E-3	4.305807E-3	1.252002E-3
2.482422E-1	4.398695E-3	6.716137E-3	1.825480E-3
2.488477E-1	2.495121E-4	1.602577E-3	1.014069E-3
2.494531E-1	3.202754E-3	6.160846E-3	3.643527E-3
2.500586E-1	3.880047E-3	4.757363E-3	4.772181E-3
2.506641E-1	4.673274E-3	7.295836E-3	1.563144E-3
2.512695E-1	6.113284E-3	1.031638E-2	4.052283E-3
2.518750E-1	2.940379E-3	7.027344E-3	4.137694E-3
2.524805E-1	5.222430E-3	1.706313E-3	9.408593E-4
2.530859E-1	4.343780E-3	5.880149E-3	4.162098E-3
2.536914E-1	1.500369E-3	1.712415E-3	-4.806341E-4
2.542969E-1	4.209541E-3	1.657496E-3	1.935295E-3
2.549023E-1	7.254310E-3	8.681013E-3	6.602430E-3
2.555078E-1	3.361399E-3	4.494972E-3	1.953597E-3
2.561133E-1	4.191236E-3	9.102058E-3	2.057311E-3
2.567187E-1	5.991249E-3	5.160101E-3	2.941932E-3
2.573242E-1	5.631247E-3	2.493483E-3	1.062876E-3
2.579297E-1	3.666486E-3	6.264581E-3	5.449373E-3
2.585352E-1	3.849539E-3	9.870922E-3	3.924165E-3
2.591406E-1	3.983777E-3	1.626985E-3	-1.163927E-3
2.597461E-1	7.894992E-3	8.955607E-3	4.119392E-3
2.603516E-1	4.044794E-3	3.970192E-3	3.875359E-3
2.609570E-1	5.094294E-3	7.326347E-3	3.497107E-3
2.615625E-1	9.133646E-3	1.006009E-2	4.503744E-3
2.621680E-1	4.642765E-3	3.323369E-3	2.203731E-3
2.627734E-1	4.868529E-3	3.805435E-3	3.911964E-3
2.633789E-1	5.332261E-3	5.062468E-3	4.485442E-3
2.639844E-1	2.098339E-3	2.115153E-3	-6.209531E-4
2.645898E-1	4.905140E-3	4.476666E-3	2.350151E-3
2.651953E-1	4.221745E-3	5.989987E-3	4.253610E-3
2.658008E-1	2.922074E-3	9.928700E-6	1.715665E-3
2.664063E-1	8.938390E-3	9.816003E-3	2.447764E-3
2.670117E-1	3.507841E-3	5.294347E-3	2.447764E-3
2.676172E-1	4.276660E-3	5.623861E-3	1.361817E-3
2.682227E-1	4.526832E-3	5.617759E-3	3.936367E-3
2.688281E-1	5.051581E-3	7.979271E-3	2.039009E-3
2.694336E-1	4.313271E-3	3.494228E-3	7.822378E-4
2.700391E-1	2.531563E-3	8.308785E-3	6.108262E-3
2.706445E-1	5.930232E-3	3.970192E-3	3.832653E-3
2.712500E-1	6.271929E-3	8.443031E-3	2.832117E-3
2.718555E-1	6.393964E-3	7.838923E-3	3.698434E-3
2.724609E-1	3.709199E-3	4.110540E-3	2.466067E-3
2.730664E-1	4.172931E-3	7.747392E-3	5.126029E-3
2.736719E-1	5.350567E-3	6.307296E-3	2.423361E-3
2.742773E-1	3.593266E-3	4.202071E-3	-5.355415E-4
2.748828E-1	3.581062E-3	5.697086E-3	3.722838E-3
2.754883E-1	3.532416E-4	4.037315E-3	3.173763E-3
2.760937E-1	2.067831E-3	3.128102E-3	4.954987E-4
2.766992E-1	5.997351E-3	8.406418E-3	1.038473E-3
2.773047E-1	2.256985E-3	2.700955E-3	2.362353E-3
2.779102E-1	4.038693E-3	6.154743E-3	4.107190E-3
